player,win_rate,deception_honest_play_rate,deception_deception_rate,deception_pure_bluff_rate,deception_half_bluff_rate,deception_challenged_rate,deception_joker_usage_rate,deception_deception_success_rate,survival_average_survival_points,survival_survival_rate,survival_average_survival_rank,survival_early_elimination_rate,survival_round_survival_rate,decision_challenge_precision,decision_challenge_recall,decision_challenge_decision_quality,decision_optimal_play_ratio,decision_card_efficiency
Gemini,0.08,0.6853932584269663,0.3146067415730337,0.23595505617977527,0.07865168539325842,0.5393258426966292,0.21722846441947566,0.39285714285714285,24.6,0.08,2.06,0.26,0.7180327868852459,0.19,1.0,0.319327731092437,0,1.7191011235955056
ChatGPT,0.22,0.9206349206349206,0.07936507936507936,0.06746031746031746,0.011904761904761904,0.47619047619047616,0.3055555555555556,0.35,35.4,0.22,2.44,0.3,0.7098360655737705,0.12612612612612611,1.0,0.22399999999999998,0,1.6349206349206349
Claude,0.26,0.7859649122807018,0.21403508771929824,0.14035087719298245,0.07368421052631578,0.5824561403508772,0.16842105263157894,0.3770491803278688,35.8,0.26,2.28,0.24,0.7786885245901639,0.05223880597014925,1.0,0.09929078014184396,0,1.8350877192982455
DeepSeek,0.44,0.8552188552188552,0.1447811447811448,0.12121212121212122,0.02356902356902357,0.6060606060606061,0.3602693602693603,0.23255813953488372,51.2,0.44,2.92,0.2,0.7885245901639344,0.22602739726027396,1.0,0.3687150837988827,0,1.878787878787879
